"","subject","sessionIndex","rep","H.period","DD.period.t","UD.period.t","H.t","DD.t.i","UD.t.i","H.i","DD.i.e","UD.i.e","H.e","DD.e.five","UD.e.five","H.five","DD.five.Shift.r","UD.five.Shift.r","H.Shift.r","DD.Shift.r.o","UD.Shift.r.o","H.o","DD.o.a","UD.o.a","H.a","DD.a.n","UD.a.n","H.n","DD.n.l","UD.n.l","H.l","DD.l.Return","UD.l.Return","H.Return"
"11183","s033",8,33,0.1245,0.2587,0.1342,0.1873,0.163,-0.0243,0.1681,0.2686,0.1005,0.0963,0.7055,0.6092,0.0989,0.4703,0.3714,0.1962,0.2157,0.0195,0.1828,0.2283,0.0455,0.19,0.1446,-0.0454,0.1396,0.2169,0.0773,0.159,0.3266,0.1676,0.1016
"11184","s033",8,34,0.1501,0.4082,0.2581,0.1551,0.144,-0.0111,0.1836,0.2424,0.0588,0.1358,0.2832,0.1474,0.1179,0.507,0.3891,0.1862,0.2239,0.0377,0.1409,0.2117,0.0708,0.2021,0.1454,-0.0567,0.1361,0.2896,0.1535,0.1944,0.78,0.5856,0.1013
"11186","s033",8,36,0.0739,0.3146,0.2407,0.1697,0.1575,-0.0122,0.1599,0.4141,0.2542,0.1559,0.4354,0.2795,0.1311,0.7585,0.6274,0.1517,0.3313,0.1796,0.1401,0.2135,0.0734,0.2229,0.2076,-0.0153,0.1338,0.33,0.1962,0.1467,0.3995,0.2528,0.0878
"11187","s033",8,37,0.1097,0.4419,0.3322,0.1865,0.2649,0.0784,0.1398,0.3729,0.2331,0.1351,0.6757,0.5406,0.1,0.7261,0.6261,0.172,0.3263,0.1543,0.1448,0.1992,0.0544,0.2252,0.1833,-0.0419,0.1063,0.2479,0.1416,0.1216,0.2977,0.1761,0.0797
"11189","s033",8,39,0.1308,0.3082,0.1774,0.1757,0.1722,-0.0035,0.1554,0.1786,0.0232,0.1554,0.2757,0.1203,0.1029,0.5015,0.3986,0.1657,0.2665,0.1008,0.1699,0.1877,0.0178,0.2295,0.1847,-0.0448,0.1258,0.2555,0.1297,0.1482,0.3024,0.1542,0.0784
"11190","s033",8,40,0.143,0.2764,0.1334,0.1952,0.1664,-0.0288,0.1792,0.176,-0.0032,0.1588,0.34,0.1812,0.1079,0.4793,0.3714,0.176,0.2565,0.0805,0.1277,0.2317,0.104,0.2186,0.3727,0.1541,0.1089,0.3323,0.2234,0.1448,1.0228,0.878,0.0894
"11191","s033",8,41,0.0836,0.3203,0.2367,0.1717,0.1648,-0.0069,0.1755,0.1736,-0.0019,0.1409,0.7453,0.6044,0.0947,0.4993,0.4046,0.1744,0.7232,0.5488,0.0989,0.5647,0.4658,0.2192,0.3825,0.1633,0.0992,0.8798,0.7806,0.1229,0.2934,0.1705,0.0989
"11192","s033",8,42,0.1021,0.3539,0.2518,0.1693,0.1474,-0.0219,0.162,0.1591,-0.0029,0.1482,1.1168,0.9686,0.1195,0.5231,0.4036,0.1667,0.2925,0.1258,0.1016,0.1787,0.0771,0.215,0.1728,-0.0422,0.1127,0.2715,0.1588,0.1667,0.3813,0.2146,0.1063
"11193","s033",8,43,0.1179,0.3088,0.1909,0.1509,0.1403,-0.0106,0.1699,0.1826,0.0127,0.1548,0.3275,0.1727,0.0591,0.5684,0.5093,0.1528,0.5104,0.3576,0.081,0.2074,0.1264,0.3471,0.2511,-0.096,0.1198,0.3561,0.2363,0.1498,0.3227,0.1729,0.0918
"11194","s033",8,44,0.1195,0.2766,0.1571,0.1475,0.1351,-0.0124,0.1559,0.1744,0.0185,0.1567,0.3495,0.1928,0.1079,0.5447,0.4368,0.143,0.2456,0.1026,0.1242,0.2163,0.0921,0.2079,0.1707,-0.0372,0.109,0.2685,0.1595,0.1314,0.2985,0.1671,0.0905
"11197","s033",8,47,0.1261,0.3349,0.2088,0.1714,0.1725,0.0011,0.1395,0.1717,0.0322,0.1406,0.3162,0.1756,0.09,0.4859,0.3959,0.173,0.5525,0.3795,0.0871,0.2096,0.1225,0.2007,0.1981,-0.0026,0.1205,0.3246,0.2041,0.0878,0.2937,0.2059,0.0799
"11198","s033",8,48,0.1039,0.2855,0.1816,0.1662,0.1868,0.0206,0.1219,0.1665,0.0446,0.1501,0.4259,0.2758,0.1145,0.5125,0.398,0.1749,0.278,0.1031,0.1079,0.2251,0.1172,0.1831,0.1615,-0.0216,0.0926,0.2579,0.1653,0.1646,0.319,0.1544,0.0799
"11199","s033",8,49,0.1385,0.38,0.2415,0.1448,0.2218,0.077,0.1609,0.2567,0.0958,0.1635,0.7518,0.5883,0.0995,0.511,0.4115,0.1831,0.4735,0.2904,0.105,0.2815,0.1765,0.2353,0.1818,-0.0535,0.1145,0.3476,0.2331,0.1261,0.2726,0.1465,0.0881
"11200","s033",8,50,0.1124,0.761,0.6486,0.2211,0.077,-0.1441,0.0515,0.9389,0.8874,0.1617,0.6482,0.4865,0.0844,0.4967,0.4123,0.1934,0.4838,0.2904,0.1435,0.4028,0.2593,0.2182,0.1934,-0.0248,0.1042,0.2477,0.1435,0.119,1.3604,1.2414,0.0847
"11502","s034",7,2,0.0815,0.2589,0.1774,0.0947,0.1385,0.0438,0.0681,0.0546,-0.0135,0.0739,0.2925,0.2186,0.1124,0.4268,0.3144,0.1496,0.7351,0.5855,0.0815,0.118,0.0365,0.1298,0.085,-0.0448,0.1018,0.1812,0.0794,0.0762,0.2151,0.1389,0.0689
"11503","s034",7,3,0.1095,0.1598,0.0503,0.1055,0.1192,0.0137,0.0636,0.0731,0.0095,0.077,0.3571,0.2801,0.1,0.8232,0.7232,0.1991,0.5,0.3009,0.077,0.1061,0.0291,0.1093,0.0958,-0.0135,0.1024,0.1652,0.0628,0.082,0.2203,0.1383,0.0857
"11504","s034",7,4,0.0984,0.1796,0.0812,0.0979,0.1027,0.0048,0.082,0.1005,0.0185,0.0757,0.3758,0.3001,0.101,0.6119,0.5109,0.1712,0.4935,0.3223,0.066,0.0302,-0.0358,0.1171,0.1335,0.0164,0.0892,0.1272,0.038,0.1016,0.2165,0.1149,0.0697
"11509","s034",7,9,0.0855,0.1181,0.0326,0.0992,0.152,0.0528,0.0649,0.0784,0.0135,0.0936,0.2104,0.1168,0.0776,0.3351,0.2575,0.1343,0.1491,0.0148,0.0947,0.1204,0.0257,0.1172,0.0982,-0.019,0.1056,0.1156,0.01,0.0981,0.2299,0.1318,0.0528
"11510","s034",7,10,0.0939,0.1223,0.0284,0.095,0.1483,0.0533,0.0881,0.1103,0.0222,0.0544,0.2103,0.1559,0.081,0.3324,0.2514,0.1718,0.157,-0.0148,0.0921,0.1581,0.066,0.0992,0.0974,-0.0018,0.0907,0.1434,0.0527,0.0973,0.214,0.1167,0.0749
"11512","s034",7,12,0.0826,0.0965,0.0139,0.0815,0.1514,0.0699,0.0597,0.0507,-0.009,0.0678,0.2049,0.1371,0.0681,0.3751,0.307,0.1457,0.1742,0.0285,0.0612,0.08,0.0188,0.1021,0.109,0.0069,0.1013,0.1206,0.0193,0.0984,0.2323,0.1339,0.0517
"11514","s034",7,14,0.091,0.1331,0.0421,0.0786,0.1156,0.037,0.0599,0.0763,0.0164,0.0562,0.2171,0.1609,0.0528,0.3192,0.2664,0.1103,0.1114,0.0011,0.1198,0.1156,-0.0042,0.0892,0.0639,-0.0253,0.1427,0.1617,0.019,0.047,0.1753,0.1283,0.0604
"11516","s034",7,16,0.1024,0.1124,0.01,0.1047,0.1343,0.0296,0.0689,0.0678,-0.0011,0.0573,0.1794,0.1221,0.0966,0.3805,0.2839,0.1417,0.156,0.0143,0.086,0.0922,0.0062,0.1058,0.0771,-0.0287,0.1396,0.1345,-0.0051,0.1016,0.2144,0.1128,0.0573
"11517","s034",7,17,0.1066,0.1308,0.0242,0.0966,0.1409,0.0443,0.056,0.0457,-0.0103,0.091,0.1915,0.1005,0.0554,0.8863,0.8309,0.1551,0.2553,0.1002,0.0897,0.0871,-0.0026,0.1027,0.0927,-0.01,0.1454,0.1398,-0.0056,0.0942,0.2117,0.1175,0.0921
"11521","s034",7,21,0.1219,0.2437,0.1218,0.0939,0.1042,0.0103,0.0791,0.0955,0.0164,0.0528,0.1944,0.1416,0.0976,0.3346,0.237,0.1457,0.1277,-0.018,0.104,0.1199,0.0159,0.0953,0.051,-0.0443,0.1217,0.0976,-0.0241,0.0982,0.6677,0.5695,0.1142
"11525","s034",7,25,0.1055,0.1355,0.03,0.0992,0.1641,0.0649,0.0834,0.118,0.0346,0.0894,0.2497,0.1603,0.0876,0.4118,0.3242,0.1818,0.19,0.0082,0.0876,0.1515,0.0639,0.1161,0.1069,-0.0092,0.0968,0.1493,0.0525,0.0987,0.2239,0.1252,0.0768
"11527","s034",7,27,0.1111,0.1472,0.0361,0.0831,0.1401,0.057,0.0881,0.0678,-0.0203,0.0805,0.2015,0.121,0.0739,0.3008,0.2269,0.1425,0.1317,-0.0108,0.0963,0.1283,0.032,0.1132,0.1021,-0.0111,0.0945,0.1409,0.0464,0.1187,0.9094,0.7907,0.1002
"11530","s034",7,30,0.1045,0.1234,0.0189,0.1034,0.1527,0.0493,0.0707,0.0604,-0.0103,0.0802,0.1849,0.1047,0.0704,0.2946,0.2242,0.17,0.1441,-0.0259,0.1093,0.1463,0.037,0.1209,0.0518,-0.0691,0.1515,0.1232,-0.0283,0.0826,0.2167,0.1341,0.0559
"11531","s034",7,31,0.081,0.125,0.044,0.1005,0.1164,0.0159,0.0657,0.062,-0.0037,0.0641,0.1801,0.116,0.1039,0.326,0.2221,0.1728,0.148,-0.0248,0.1076,0.1219,0.0143,0.1237,0.0797,-0.044,0.1179,0.0981,-0.0198,0.1271,0.2438,0.1167,0.0799
"11537","s034",7,37,0.1,0.1231,0.0231,0.1079,0.1377,0.0298,0.0773,0.0736,-0.0037,0.0588,0.1709,0.1121,0.0776,0.2866,0.209,0.1209,0.1267,0.0058,0.1013,0.104,0.0027,0.1053,0.0979,-0.0074,0.1829,0.1475,-0.0354,0.1158,0.2193,0.1035,0.0818
"11538","s034",7,38,0.1039,0.1128,0.0089,0.1,0.1441,0.0441,0.0707,0.0596,-0.0111,0.086,0.1881,0.1021,0.0739,0.2823,0.2084,0.1299,0.1183,-0.0116,0.0963,0.1196,0.0233,0.1158,0.0992,-0.0166,0.1111,0.0744,-0.0367,0.1148,0.4172,0.3024,0.0715
"11541","s034",7,41,0.0902,0.122,0.0318,0.0973,0.1187,0.0214,0.0755,0.0591,-0.0164,0.0684,0.1768,0.1084,0.1008,0.3197,0.2189,0.1378,0.1663,0.0285,0.0982,0.0945,-0.0037,0.1243,0.118,-0.0063,0.1016,0.0994,-0.0022,0.1538,0.242,0.0882,0.0615
"11548","s034",7,48,0.0966,0.1749,0.0783,0.0902,0.1121,0.0219,0.066,0.0861,0.0201,0.0565,0.176,0.1195,0.0744,0.2617,0.1873,0.1364,0.1332,-0.0032,0.1093,0.0819,-0.0274,0.1188,0.0974,-0.0214,0.1307,0.0568,-0.0739,0.0997,0.185,0.0853,0.0718
"11554","s034",8,4,0.0918,0.1281,0.0363,0.0797,0.124,0.0443,0.0625,0.0639,0.0014,0.0604,0.1675,0.1071,0.0913,0.289,0.1977,0.1304,0.1423,0.0119,0.1087,0.0731,-0.0356,0.099,0.0782,-0.0208,0.1113,0.0738,-0.0375,0.095,0.2035,0.1085,0.0789
"11557","s034",8,7,0.1256,0.4989,0.3733,0.0871,0.0937,0.0066,0.0871,0.1175,0.0304,0.0639,0.1942,0.1303,0.0942,0.3045,0.2103,0.1596,0.4431,0.2835,0.114,0.1048,-0.0092,0.1025,0.0629,-0.0396,0.1043,0.1032,-0.0011,0.1074,0.2212,0.1138,0.0871
"11561","s034",8,11,0.0987,0.1596,0.0609,0.0923,0.0894,-0.0029,0.0765,0.0852,0.0087,0.0565,0.1667,0.1102,0.0805,0.2789,0.1984,0.0989,0.1066,0.0077,0.1435,0.1285,-0.015,0.0893,0.0223,-0.067,0.1415,0.1319,-0.0096,0.0927,0.1873,0.0946,0.0739
"11591","s034",8,41,0.1161,0.1614,0.0453,0.0984,0.1253,0.0269,0.0795,0.0631,-0.0164,0.0882,0.1897,0.1015,0.0863,0.2739,0.1876,0.1439,0.1396,-0.0043,0.1207,0.1144,-0.0063,0.1135,0.0834,-0.0301,0.1249,0.09,-0.0349,0.0813,0.1482,0.0669,0.0966
"11596","s034",8,46,0.1261,0.1287,0.0026,0.1047,0.1395,0.0348,0.0726,0.067,-0.0056,0.0903,0.1892,0.0989,0.0712,0.2656,0.1944,0.1375,0.1356,-0.0019,0.1455,0.1151,-0.0304,0.127,0.0146,-0.1124,0.1381,0.1264,-0.0117,0.1264,0.1986,0.0722,0.0852
"11951","s035",8,1,0.0491,0.2244,0.1753,0.0515,0.0863,0.0348,0.0536,0.7778,0.7242,0.0565,0.2274,0.1709,0.0559,0.8007,0.7448,0.0554,1.028,0.9726,0.0581,0.1173,0.0592,0.0512,0.0829,0.0317,0.1047,0.2184,0.1137,0.0673,0.3204,0.2531,0.0736
"11952","s035",8,2,0.0501,0.2304,0.1803,0.0623,0.1085,0.0462,0.0486,0.1056,0.057,0.0522,0.1819,0.1297,0.0565,0.3072,0.2507,0.1035,0.1589,0.0554,0.0673,0.1043,0.037,0.0776,0.0541,-0.0235,0.0879,0.166,0.0781,0.0791,0.266,0.1869,0.0551
"11954","s035",8,4,0.0538,0.7249,0.6711,0.0623,0.7219,0.6596,0.0512,0.1306,0.0794,0.0789,0.2192,0.1403,0.0654,0.306,0.2406,0.1156,0.1787,0.0631,0.053,0.0992,0.0462,0.0897,0.0985,0.0088,0.0799,0.1466,0.0667,0.0715,0.2536,0.1821,0.0451
"11955","s035",8,5,0.0673,0.3589,0.2916,0.076,0.1404,0.0644,0.048,0.1148,0.0668,0.067,0.1799,0.1129,0.0673,0.3263,0.259,0.0929,0.1865,0.0936,0.0744,0.1159,0.0415,0.0731,0.0769,0.0038,0.0923,0.1777,0.0854,0.0791,0.2768,0.1977,0.0504
"11958","s035",8,8,0.0441,0.2626,0.2185,0.0686,0.1182,0.0496,0.0509,0.1206,0.0697,0.0797,0.1348,0.0551,0.0699,0.3306,0.2607,0.1169,0.1694,0.0525,0.0675,0.1375,0.07,0.0551,0.1156,0.0605,0.0749,0.1733,0.0984,0.0712,0.2589,0.1877,0.0493
"11960","s035",8,10,0.0588,0.1745,0.1157,0.0968,0.144,0.0472,0.0628,0.0884,0.0256,0.0987,0.1264,0.0277,0.0791,0.3213,0.2422,0.1093,0.189,0.0797,0.0691,0.1652,0.0961,0.0644,0.0618,-0.0026,0.0789,0.1825,0.1036,0.071,0.2687,0.1977,0.0615
"11961","s035",8,11,0.0538,0.1674,0.1136,0.0958,0.1589,0.0631,0.053,0.1712,0.1182,0.1514,0.1374,-0.014,0.0907,0.3492,0.2585,0.1014,0.1357,0.0343,0.0654,0.1291,0.0637,0.0821,0.0597,-0.0224,0.1037,0.1736,0.0699,0.0828,0.2673,0.1845,0.077
"11962","s035",8,12,0.0586,0.3407,0.2821,0.0971,0.1219,0.0248,0.0509,0.0905,0.0396,0.1219,0.1065,-0.0154,0.0916,0.3209,0.2293,0.1093,0.1238,0.0145,0.076,0.1117,0.0357,0.0992,0.0879,-0.0113,0.077,0.1311,0.0541,0.082,0.2246,0.1426,0.076
"11963","s035",8,13,0.0554,0.1904,0.135,0.0944,0.1348,0.0404,0.0441,0.0958,0.0517,0.1137,0.1155,0.0018,0.0863,0.3145,0.2282,0.1072,0.1705,0.0633,0.0794,0.1536,0.0742,0.0692,0.0362,-0.033,0.0929,0.1841,0.0912,0.0849,0.2536,0.1687,0.0604
"11964","s035",8,14,0.057,0.1329,0.0759,0.086,0.1396,0.0536,0.0728,0.12,0.0472,0.1211,0.101,-0.0201,0.1269,0.3617,0.2348,0.1114,0.1697,0.0583,0.0755,0.1629,0.0874,0.1507,0.0304,-0.1203,0.1249,0.2707,0.1458,0.0855,0.3784,0.2929,0.0704
"11968","s035",8,18,0.0573,0.1382,0.0809,0.1029,0.1412,0.0383,0.0549,0.1288,0.0739,0.1343,0.1232,-0.0111,0.1076,0.326,0.2184,0.1135,0.1341,0.0206,0.0802,0.1162,0.036,0.096,0.0918,-0.0042,0.1116,0.2092,0.0976,0.0902,0.2903,0.2001,0.0731
"11970","s035",8,20,0.0573,0.1501,0.0928,0.1021,0.1602,0.0581,0.0607,0.1319,0.0712,0.124,0.101,-0.023,0.1182,0.3058,0.1876,0.1087,0.1451,0.0364,0.0892,0.127,0.0378,0.1103,0.0729,-0.0374,0.1013,0.1459,0.0446,0.0839,0.2106,0.1267,0.1018
"11972","s035",8,22,0.0707,0.1545,0.0838,0.1031,0.1472,0.0441,0.0639,0.1515,0.0876,0.1364,0.1411,0.0047,0.1126,0.2949,0.1823,0.0971,0.1496,0.0525,0.0586,0.0325,-0.0261,0.1533,0.2006,0.0473,0.0581,0.1393,0.0812,0.0936,0.2414,0.1478,0.0852
"11973","s035",8,23,0.0562,0.1487,0.0925,0.1227,0.1839,0.0612,0.1079,0.33,0.2221,0.1282,0.2113,0.0831,0.067,0.292,0.225,0.0987,0.1401,0.0414,0.0567,0.1098,0.0531,0.115,0.1008,-0.0142,0.1385,0.1456,0.0071,0.0934,0.2692,0.1758,0.1263
"11974","s035",8,24,0.0617,0.1964,0.1347,0.1076,0.5082,0.4006,0.0417,0.0908,0.0491,0.0889,0.1667,0.0778,0.0704,0.2775,0.2071,0.1019,0.1444,0.0425,0.0834,0.1022,0.0188,0.1084,0.105,-0.0034,0.0958,0.1377,0.0419,0.1111,0.2624,0.1513,0.1013
"11975","s035",8,25,0.0689,0.1872,0.1183,0.0976,0.1599,0.0623,0.0501,0.1266,0.0765,0.1443,0.1268,-0.0175,0.1304,0.3301,0.1997,0.1161,0.1834,0.0673,0.0617,0.1203,0.0586,0.1166,0.11,-0.0066,0.094,0.1504,0.0564,0.0897,0.2811,0.1914,0.0929
"11976","s035",8,26,0.082,0.2288,0.1468,0.1002,0.1285,0.0283,0.0559,0.101,0.0451,0.1153,0.1063,-0.009,0.0842,0.2911,0.2069,0.0942,0.1496,0.0554,0.0686,0.146,0.0774,0.0797,0.0615,-0.0182,0.0913,0.2369,0.1456,0.0166,0.2699,0.2533,0.1079
"11979","s035",8,29,0.0673,0.1561,0.0888,0.095,0.1396,0.0446,0.0876,0.1153,0.0277,0.1237,0.1073,-0.0164,0.1037,0.2992,0.1955,0.1037,0.1391,0.0354,0.0894,0.5781,0.4887,0.0689,0.0711,0.0022,0.0929,0.5982,0.5053,0.0757,0.4247,0.349,0.086
"11980","s035",8,30,0.0602,0.124,0.0638,0.1147,0.1292,0.0145,0.0691,0.105,0.0359,0.1229,0.1269,0.004,0.1213,0.2958,0.1745,0.1167,0.1526,0.0359,0.0863,0.0196,-0.0667,0.1048,0.1871,0.0823,0.0715,0.1659,0.0944,0.0849,0.2546,0.1697,0.0905
"11982","s035",8,32,0.0554,0.1271,0.0717,0.1029,0.2118,0.1089,0.0681,0.2865,0.2184,0.1377,0.1664,0.0287,0.0723,0.2799,0.2076,0.1087,0.1309,0.0222,0.0816,0.0481,-0.0335,0.1074,0.1565,0.0491,0.0826,0.1425,0.0599,0.0987,0.2239,0.1252,0.0749
"11983","s035",8,33,0.0915,0.1679,0.0764,0.0871,0.1391,0.052,0.0678,0.0945,0.0267,0.125,0.1144,-0.0106,0.1148,1.3111,1.1963,0.1227,0.1633,0.0406,0.0608,0.0484,-0.0124,0.1161,0.1884,0.0723,0.0615,0.1393,0.0778,0.1092,0.2729,0.1637,0.115
"11984","s035",8,34,0.0694,0.1099,0.0405,0.105,0.1406,0.0356,0.0546,0.1308,0.0762,0.1288,0.1121,-0.0167,0.1177,0.4986,0.3809,0.1348,0.1905,0.0557,0.0995,0.3074,0.2079,0.0755,0.0766,0.0011,0.0897,0.1598,0.0701,0.0931,0.2256,0.1325,0.0834
"11985","s035",8,35,0.0573,0.7286,0.6713,0.0581,0.1177,0.0596,0.053,0.1517,0.0987,0.1126,0.1094,-0.0032,0.0966,0.4899,0.3933,0.1229,0.2039,0.081,0.0441,0.0046,-0.0395,0.0945,0.2393,0.1448,0.1198,0.6546,0.5348,0.0855,0.2958,0.2103,0.0757
"11988","s035",8,38,0.0522,0.1639,0.1117,0.101,0.1775,0.0765,0.0678,0.172,0.1042,0.1306,0.1728,0.0422,0.071,0.4337,0.3627,0.1246,0.1763,0.0517,0.0731,0.0402,-0.0329,0.1063,0.2053,0.099,0.0776,0.1327,0.0551,0.1134,0.2634,0.15,0.0765
"11991","s035",8,41,0.052,0.1574,0.1054,0.0966,0.1589,0.0623,0.0551,0.1005,0.0454,0.1403,0.1239,-0.0164,0.1237,0.3461,0.2224,0.1195,0.205,0.0855,0.0352,0.0012,-0.034,0.1151,0.2644,0.1493,0.1195,0.1957,0.0762,0.0929,0.2784,0.1855,0.0929
"11993","s035",8,43,0.0573,0.1421,0.0848,0.1031,0.1612,0.0581,0.053,0.1448,0.0918,0.1256,0.1372,0.0116,0.0839,0.3181,0.2342,0.1208,0.3561,0.2353,0.066,0.1455,0.0795,0.0878,0.163,0.0752,0.0952,0.1727,0.0775,0.0778,0.2301,0.1523,0.0615
"11994","s035",8,44,0.0525,0.2236,0.1711,0.081,0.1583,0.0773,0.0499,0.1285,0.0786,0.133,0.1245,-0.0085,0.0958,0.3369,0.2411,0.1183,0.1724,0.0541,0.0641,0.1707,0.1066,0.0657,0.0782,0.0125,0.0984,0.167,0.0686,0.0876,0.2726,0.185,0.053
"11996","s035",8,46,0.0512,0.2059,0.1547,0.0987,0.1491,0.0504,0.0628,0.1343,0.0715,0.138,0.1319,-0.0061,0.0794,0.3168,0.2374,0.114,0.186,0.072,0.0636,0.1602,0.0966,0.0699,0.0797,0.0098,0.1213,0.1577,0.0364,0.091,0.2858,0.1948,0.0773
"11997","s035",8,47,0.0755,0.1925,0.117,0.0921,0.1473,0.0552,0.0557,0.1182,0.0625,0.1362,0.1232,-0.013,0.1032,0.3306,0.2274,0.1258,0.167,0.0412,0.0784,0.1529,0.0745,0.071,0.0885,0.0175,0.1095,0.1791,0.0696,0.077,0.262,0.185,0.0602
"11998","s035",8,48,0.0525,0.1664,0.1139,0.0773,0.1509,0.0736,0.0697,0.1196,0.0499,0.1496,0.1311,-0.0185,0.1021,0.334,0.2319,0.119,0.2438,0.1248,0.0755,0.1864,0.1109,0.0762,0.1253,0.0491,0.09,0.1343,0.0443,0.0831,0.2702,0.1871,0.0478
"11999","s035",8,49,0.057,0.1263,0.0693,0.0968,0.1425,0.0457,0.0726,0.1267,0.0541,0.1473,0.1282,-0.0191,0.1296,0.3939,0.2643,0.1063,0.1894,0.0831,0.066,0.136,0.07,0.1256,0.0797,-0.0459,0.1132,0.1417,0.0285,0.1018,0.2425,0.1407,0.0871
"12000","s035",8,50,0.0578,0.1978,0.14,0.0813,0.1425,0.0612,0.0594,0.1259,0.0665,0.1564,0.1363,-0.0201,0.1185,0.352,0.2335,0.1185,0.1723,0.0538,0.0886,0.1544,0.0658,0.0665,0.0729,0.0064,0.1058,0.143,0.0372,0.1018,0.2866,0.1848,0.0602
"12304","s036",7,4,0.0486,0.448,0.3994,0.0602,0.2857,0.2255,0.0406,0.3703,0.3297,0.0533,0.3181,0.2648,0.0438,0.6435,0.5997,0.0383,0.6884,0.6501,0.047,0.1755,0.1285,0.0612,0.3798,0.3186,0.0383,0.5378,0.4995,0.0451,0.5669,0.5218,0.0591
"12305","s036",7,5,0.0538,0.5036,0.4498,0.0596,0.361,0.3014,0.0483,0.4753,0.427,0.0478,0.1678,0.12,0.047,0.6035,0.5565,0.0322,0.648,0.6158,0.0346,0.1275,0.0929,0.053,0.3719,0.3189,0.0367,0.4845,0.4478,0.0354,0.453,0.4176,0.0391
"12306","s036",7,6,0.048,0.4801,0.4321,0.0528,0.1646,0.1118,0.0459,0.3658,0.3199,0.0464,0.2866,0.2402,0.0399,0.6257,0.5858,0.0507,0.6167,0.566,0.0412,0.1634,0.1222,0.0654,0.3946,0.3292,0.0375,0.5169,0.4794,0.0396,0.5012,0.4616,0.0504
"12310","s036",7,10,0.0464,0.4292,0.3828,0.0565,0.1916,0.1351,0.0486,0.3416,0.293,0.0554,0.3209,0.2655,0.0449,0.5392,0.4943,0.0457,0.6468,0.6011,0.0396,0.1821,0.1425,0.0512,0.3311,0.2799,0.0359,0.5132,0.4773,0.0417,0.454,0.4123,0.052
"12315","s036",7,15,0.0517,0.4414,0.3897,0.057,0.1604,0.1034,0.043,0.3996,0.3566,0.0559,0.2906,0.2347,0.0459,0.6977,0.6518,0.0317,0.5971,0.5654,0.0462,0.2024,0.1562,0.0599,0.3643,0.3044,0.0464,0.4955,0.4491,0.0412,0.4778,0.4366,0.0501
"12316","s036",7,16,0.0399,0.4383,0.3984,0.0549,0.2353,0.1804,0.0459,0.3708,0.3249,0.0478,0.3545,0.3067,0.0396,0.5231,0.4835,0.0446,0.6101,0.5655,0.0438,0.1961,0.1523,0.0615,0.3274,0.2659,0.0404,0.4979,0.4575,0.042,0.4422,0.4002,0.0412
"12319","s036",7,19,0.043,0.5358,0.4928,0.0417,0.2055,0.1638,0.0348,0.361,0.3262,0.0454,0.2957,0.2503,0.0435,0.6807,0.6372,0.0375,0.6638,0.6263,0.047,0.2858,0.2388,0.0522,0.3336,0.2814,0.0417,0.5551,0.5134,0.0449,1.1959,1.151,0.0723
"12321","s036",7,21,0.0412,0.5667,0.5255,0.0546,0.2943,0.2397,0.0351,0.3571,0.322,0.0594,0.2988,0.2394,0.0399,0.6125,0.5726,0.0362,0.6272,0.591,0.0441,0.2995,0.2554,0.0639,0.285,0.2211,0.0457,0.5114,0.4657,0.0343,0.535,0.5007,0.0522
"12322","s036",7,22,0.0443,0.3973,0.353,0.0575,0.2935,0.236,0.038,0.3648,0.3268,0.0525,0.6142,0.5617,0.0443,0.6593,0.615,0.0346,0.6931,0.6585,0.042,0.2594,0.2174,0.0562,0.4157,0.3595,0.0348,0.5187,0.4839,0.0346,0.4063,0.3717,0.0383
"12326","s036",7,26,0.043,0.3995,0.3565,0.0551,0.1912,0.1361,0.0628,0.3408,0.278,0.053,0.5356,0.4826,0.0364,0.5984,0.562,0.0301,0.6857,0.6556,0.0441,0.1935,0.1494,0.0633,0.4072,0.3439,0.0338,0.5188,0.485,0.0406,0.5233,0.4827,0.0544
"12328","s036",7,28,0.0428,0.7012,0.6584,0.0662,0.1335,0.0673,0.0443,0.4668,0.4225,0.0478,0.408,0.3602,0.037,0.6246,0.5876,0.0354,0.6296,0.5942,0.0388,0.1309,0.0921,0.0646,0.4333,0.3687,0.0314,0.4884,0.457,0.0341,0.4454,0.4113,0.0438
"12330","s036",7,30,0.0428,0.3399,0.2971,0.0573,0.2398,0.1825,0.0417,0.2398,0.1981,0.0649,0.259,0.1941,0.0533,0.6172,0.5639,0.0322,0.5921,0.5599,0.0414,0.1119,0.0705,0.0652,0.3727,0.3075,0.0438,0.5113,0.4675,0.0422,0.4432,0.401,0.0404
"12337","s036",7,37,0.0493,0.4677,0.4184,0.0652,0.2372,0.172,0.0348,0.2701,0.2353,0.0565,0.369,0.3125,0.0391,0.5677,0.5286,0.0399,0.6433,0.6034,0.0351,0.1908,0.1557,0.0588,0.3181,0.2593,0.0312,0.5328,0.5016,0.0362,0.5002,0.464,0.0351
"12340","s036",7,40,0.038,0.4451,0.4071,0.0567,0.1148,0.0581,0.0472,0.3587,0.3115,0.0602,0.263,0.2028,0.0562,0.5766,0.5204,0.0401,0.6132,0.5731,0.0425,0.1723,0.1298,0.0549,0.3946,0.3397,0.0441,0.5884,0.5443,0.0396,0.5585,0.5189,0.052
